sub,task,FD,int,unp
c003,h1,0.1182434051087751,2.7,2.4
c003,h2,0.1202424826866135,1.4,1.4
c006,h1,0.1437908632205479,2.2,2.5
c006,h2,0.1447965692977245,2.3,3.1
c007,h1,0.1208848824234941,5.0,5.4
c007,h2,0.1289372422164383,5.0,6.0
c011,h1,0.1517579538109589,1.9,2.4
c011,h2,0.1589731100083972,0.8,0.8
c014,h1,0.1488551438287671,1.5,1.0
c014,h2,0.1300117633873972,1.8,2.0
c016,h1,0.1603791761253424,2.5,1.9
c016,h2,0.1373434695848377,3.7,2.4
c024,h1,0.1969143359650684,4.1,4.6
c024,h2,0.2048116310342466,5.6,5.9
c026,h1,0.122933291739726,6.0,6.1
c026,h2,0.204998171589041,4.7,7.1
c027,h1,0.0745341207657533,2.5,4.1
c027,h2,0.1325571584863013,4.6,4.6
c029,h1,0.0593022025054794,1.8,2.4
c029,h2,0.0650974687084493,2.0,4.9
c035,h1,0.1523557150373287,3.8,4.9
c035,h2,0.1216387822035119,5.1,5.4
c036,h1,0.1914197371054794,2.2,2.7
c036,h2,0.2201237027260273,4.3,4.3
c037,h1,0.1939891012602739,4.8,3.3
c037,h2,0.2237523995342465,3.5,3.3
c039,h1,0.2063181226271233,6.8,4.7
c039,h2,0.1606392155821917,7.1,4.7
c041,h1,0.1427697434171232,2.2,1.9
c041,h2,0.1103814305527397,3.2,1.9
c042,h1,0.2609928330410959,2.2,3.8
c042,h2,0.2797616337808219,3.0,4.0
c045,h1,0.0897064488035457,3.2,1.2
c045,h2,0.1080827534424657,2.5,0.8
c048,h1,0.1744049109863013,2.8,4.1
c048,h2,0.1452141977244014,4.8,3.8
c053,h1,0.1527152355461602,4.0,5.8
c053,h2,0.2179915557207939,6.7,7.0
c054,h1,0.1050447804178082,1.8,1.5
c054,h2,0.0980980797123287,2.7,2.3
m001,h1,0.118383320869589,4.6,5.6
m001,h2,0.1781346157383838,5.2,6.0
m005,h1,0.0721761823424657,3.7,3.1
m005,h2,0.0794782220756913,5.6,6.2
m009,h1,0.1870170994630137,7.4,8.4
m009,h2,0.1817653478047945,7.3,8.6
m012,h1,0.1040674868301369,2.6,1.9
m012,h2,0.1375575339109588,4.5,2.8
m019,h1,0.1718623380931506,7.9,8.6
m019,h2,0.1743779176027397,8.1,9.3
m020,h1,0.1164637176109588,3.1,2.4
m020,h2,0.1888696190753424,5.1,5.3
m021,h1,0.1184877777465753,5.9,5.0
m021,h2,0.1594678102465753,7.7,8.5
m023,h1,0.1258628912945205,5.3,4.0
m023,h2,0.1682325594301369,5.1,4.5
m031,h1,0.1496099034034836,3.3,3.3
m031,h2,0.1489051324726027,4.6,4.5
m032,h1,0.0992703884342465,4.4,5.0
m032,h2,0.0833626901356164,5.6,5.9
m033,h1,0.1836522933575342,3.6,5.2
m033,h2,0.1982578717753424,4.4,5.4
m040,h1,0.123230097739726,3.3,3.1
m040,h2,0.1246217427054794,3.5,2.7
m043,h1,0.1022074505301369,5.3,4.3
m043,h2,0.1154518571500589,5.0,6.5
m044,h1,0.2008410337054794,5.4,6.1
m044,h2,0.1798861252504109,4.8,2.8
m046,h1,0.081069899158904,3.4,2.6
m046,h2,0.0850598184392328,4.8,5.4
m047,h1,0.1979513413705479,3.2,3.4
m047,h2,0.1800848083267123,3.7,3.9
m051,h1,0.1512310434246575,4.8,4.8
m051,h2,0.2042699353876712,4.8,5.7
m052,h1,0.1321599862178082,6.4,2.4
m052,h2,0.1286281753698114,5.8,1.9
m055,h1,0.1258772633863013,5.4,6.1
m055,h2,0.121372909813212,7.2,7.6
m057,h1,0.0854975965136986,3.2,3.6
m057,h2,0.0876382492808219,4.9,4.4
